RETAIL TOTAL (EXCL. FOOD SERVICES)


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992   146913    147270    146831    148082    149015    149821    150809    151064    152595    153577    153605    155504
1993   157525    156292    154774    158996    160624    160171    162832    162491    163285    164711    166593    168101
1994   167504    169652    172775    173099    172340    174307    174801    177289    178776    180569    180695    181492
1995   182423    179472    180996    181702    183543    186088    185470    186814    187338    186546    189052    190809
1996   189167    192269    193993    194712    196210    196127    196229    196215    198843    200488    200200    201191
1997   202414    204273    204965    203372    201676    204666    207049    207643    208298    208064    208982    209379
1998   209684    209532    210792    213623    214619    216324    214853    213669    215712    219465    221150    223226
1999   224020    226240    227407    228978    231238    231926    233933    236589    237516    237560    240462    245498
2000   243483    247139    249847    245783    246225    248178    247184    247612    251812    251267    250230    250594
2001   252731    252730    250351    254753    255268    254014    253015    254570    249856    268072    260363    256548
2002   256382    257677    257054    261327    257609    259815    262811    264986    260644    262023    263559    265795
2003   267284    263209    267847    267253    267363    270449    273426    277924    276444    274812    278358    277589
2004   278925    280983    286269    283009    288290    284192    287396    287961    293238    295101    296233    299791
2005   297799    300335    300304    305040    302011    309800    314312    309589    310103    311079    313518    313732
2006   322831    319960    321342    323299    321363    322851    325373    325290    323198    323017    323660    327995
2007   327028    328134    331139    329472    334300    331609    332890    334052    337170    337346    340564    337316
2008   337853    334764    335346    337017    338100    339617    337764    335707    328752    315645    303526    294919
2009   299452    298954    293950    294747    298346    302916    304164    311482    302687    305420    308797    310075
2010   310389    309958    317572    319505    317582    317159    317517    319825    322239    327313    329370    331498
2011   334074    336147    340141    342210    341932    344524    345531    345591    348048    352349    353399    351833
2012   354040    358925    361459    360119    359525    356066    358509    363278    367913    367798    368482    369068
2013   371475    374263    372591    372874    375249    378363    379764    380565    380748    382229    382807    382643
2014   381142                                                                                                              


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.893     0.891     0.972     0.994     1.023     1.016     1.013     1.011     0.971     1.016     1.006     1.226
1993     0.874     0.860     0.988     0.996     1.019     1.018     1.011     1.011     0.977     0.995     1.019     1.230
1994     0.870     0.861     0.996     0.989     1.019     1.025     0.992     1.028     0.980     0.990     1.019     1.224
1995     0.869     0.864     1.004     0.970     1.037     1.029     0.987     1.035     0.973     0.988     1.023     1.194
1996     0.883     0.904     0.986     0.983     1.050     1.006     1.003     1.040     0.954     1.006     1.017     1.182
1997     0.893     0.872     0.986     0.984     1.051     1.007     1.008     1.020     0.966     1.008     0.994     1.195
1998     0.894     0.877     0.989     0.991     1.031     1.020     1.013     1.016     0.967     1.004     0.991     1.198
1999     0.878     0.881     1.007     0.995     1.027     1.021     1.012     1.016     0.971     0.982     1.003     1.200
2000     0.877     0.915     1.019     0.973     1.042     1.029     0.990     1.040     0.967     0.975     1.009     1.172
2001     0.892     0.884     1.019     0.974     1.048     1.021     0.992     1.046     0.949     0.988     1.010     1.165
2002     0.900     0.883     0.999     0.989     1.053     1.001     1.011     1.046     0.948     0.993     1.003     1.162
2003     0.905     0.882     0.994     0.992     1.052     1.001     1.021     1.027     0.960     0.996     0.983     1.178
2004     0.905     0.901     1.009     1.002     1.028     1.016     1.027     1.022     0.966     0.973     0.995     1.188
2005     0.885     0.883     1.016     0.996     1.030     1.023     1.007     1.036     0.968     0.968     0.995     1.186
2006     0.887     0.884     1.021     0.977     1.049     1.027     1.002     1.039     0.961     0.966     1.003     1.160
2007     0.903     0.886     1.022     0.977     1.056     1.021     1.000     1.041     0.942     0.980     1.007     1.155
2008     0.912     0.924     1.000     0.993     1.058     1.001     1.019     1.017     0.953     0.989     0.985     1.170
2009     0.918     0.891     1.002     1.001     1.036     1.013     1.020     1.010     0.953     0.988     0.987     1.175
2010     0.901     0.895     1.022     1.004     1.030     1.012     1.015     1.008     0.959     0.969     1.003     1.177
2011     0.898     0.899     1.031     1.000     1.027     1.016     0.992     1.023     0.962     0.966     1.005     1.174
2012     0.897     0.936     1.036     0.982     1.049     1.011     0.988     1.035     0.939     0.980     1.014     1.145
2013     0.913     0.904     1.017     0.994     1.053     0.991     1.004     1.035     0.939     0.986     1.010     1.144
2014     0.915     0.900     1.011     0.994     1.052     0.992     1.012     1.017     0.955     0.993     0.992     1.163
2015     0.913     0.900     1.010     0.999     1.031     1.005     1.016     1.013     0.957     0.991     0.991     1.170
2016     0.894                                                                                                              
